Name,Type,CMC,Color Identity,Oracle Text,Keywords,Power,Toughness
Lady Sun,Human Advisor,3.0,U,"{T}: Return Lady Sun and another target creature to their owners' hands. Activate only during your turn, before attackers are declared.",,1,1
"Lady Zhurong, Warrior Queen",Human Soldier Warrior,5.0,G,Horsemanship (This creature can't be blocked except by creatures with horsemanship.),Horsemanship,4,3
"Lae'zel, Githyanki Warrior",Gith Warrior,4.0,W,"Double strikeSpecialize {1}When you cast this spell, it gains ""When this creature becomes the target of a spell or ability an opponent controls, you may exile this creature, then return it to the battlefield under its owner's control.""","Double strike, Specialize",2,4
"Lae'zel, Vlaakith's Champion",Gith Warrior,3.0,W,"If you would put one or more counters on a creature or planeswalker you control or on yourself, put that many plus one of each of those kinds of counters on that permanent or player instead.Choose a Background (You can have a Background as a second commander.)",Choose a background,3,3
"Landroval, Horizon Witness",Bird Noble,5.0,W,"FlyingWhenever two or more creatures you control attack a player, target attacking creature without flying gains flying until end of turn.",Flying,3,4
"Latulla, Keldon Overseer",Human Spellshaper,5.0,R,"{X}{R}, {T}, Discard two cards: Latulla deals X damage to any target.",,3,3
"Laurine, the Diversion",Human Rogue,3.0,R,"Partner with Kamber, the Plunderer (When this creature enters, target player may put Kamber into their hand from their library, then shuffle.)First strike{2}, Sacrifice an artifact or creature: Goad target creature. (Until your next turn, that creature attacks each combat if able and attacks a player other than you if able.)","Partner with, Goad, First strike, Partner",3,3
Lavinia of the Tenth,Human Soldier,5.0,"U, W","Protection from redWhen Lavinia enters, detain each nonland permanent your opponents control with mana value 4 or less. (Until your next turn, those permanents can't attack or block and their activated abilities can't be activated.)","Protection, Detain",4,4
Layla Hassan,Human Assassin,4.0,W,"First strikeWhen Layla Hassan enters and whenever one or more Assassins you control deal combat damage to a player, return target historic card from your graveyard to your hand.",First strike,3,4
"Leela, Sevateem Warrior",Human Warrior,4.0,G,"Whenever an opponent draws a card except the first one they draw in each of their draw steps, put a +1/+1 counter on Leela.Doctor's companion (You can have two commanders if the other is the Doctor.)",Doctor's companion,3,3
"Legate Lanius, Caesar's Ace",Human Soldier,4.0,"B, R","Decimate — When Legate Lanius enters, each opponent sacrifices a tenth of the creatures they control of their choice, rounded up.Whenever an opponent sacrifices a creature, put a +1/+1 counter on Legate Lanius.",Decimate,2,2
Legolas Greenleaf,Elf Archer,3.0,G,"ReachLegolas can't be blocked by creatures with power 2 or less.Whenever another legendary creature you control enters, put a +1/+1 counter on Legolas.Whenever Legolas deals combat damage to a player, draw a card.",Reach,2,2
"Lena, Selfless Champion",Human Knight,6.0,W,"When Lena enters, create a 1/1 white Soldier creature token for each nontoken creature you control.Sacrifice Lena: Creatures you control with power less than Lena's power gain indestructible until end of turn.",,3,3
Liara of the Flaming Fist,Human Soldier,2.0,"R, W","At the beginning of each combat, each creature you control gets +1/+1 until end of turn if it has the same name as another creature you control or a creature card in your graveyard.{1}{R}{W}: Another target nontoken creature you control gains first strike and double team until end of turn. Activate only as a sorcery and only once.",,2,2
Lieutenant Kirtar,Bird Soldier,3.0,W,"Flying{1}{W}, Sacrifice Lieutenant Kirtar: Exile target attacking creature.",Flying,2,2
"Lila, Hospitality Hostess",Elf Employee,4.0,"G, W",You may look at the top card of your library any time.You may cast common spells from the top of your library.Guests you control get +1/+1.,,3,3
"Liliana, Heretical Healer // Liliana, Defiant Necromancer",Human Cleric // Legendary Planeswalker,3.0,B,Missing Oracle Text,"Lifelink, Transform",0,0
"Lily Bowen, Raging Grandma",Mutant Warrior,4.0,G,"VigilanceLily Bowen enters with two +1/+1 counters on it.At the beginning of your upkeep, double the number of +1/+1 counters on Lily Bowen if its power is 16 or less. Otherwise, remove all but one +1/+1 counter from it, then you gain 1 life for each +1/+1 counter removed this way.",Vigilance,0,0
Lim-Dul the Necromancer,Human Wizard,7.0,B,"Whenever a creature an opponent controls dies, you may pay {1}{B}. If you do, return that card to the battlefield under your control. If it's a creature, it's a Zombie in addition to its other creature types.{1}{B}: Regenerate target Zombie.",,4,4
"Linessa, Zephyr Mage",Human Wizard,4.0,U,"{X}{U}{U}, {T}: Return target creature with mana value X to its owner's hand.Grandeur — Discard another card named Linessa, Zephyr Mage: Target player returns a creature they control to its owner's hand, then repeats this process for an artifact, an enchantment, and a land.",Grandeur,3,3
"Linvala, Keeper of Silence",Angel,4.0,W,FlyingActivated abilities of creatures your opponents control can't be activated.,Flying,3,4
"Liu Bei, Lord of Shu",Human Soldier,5.0,W,"Horsemanship (This creature can't be blocked except by creatures with horsemanship.)Liu Bei gets +2/+2 as long as you control a permanent named Guan Yu, Sainted Warrior or a permanent named Zhang Fei, Fierce Warrior.",Horsemanship,2,4
"Livaan, Cultist of Tiamat",Dragon Shaman,3.0,R,"Whenever you cast a noncreature spell, target creature gets +X/+0 until end of turn, where X is that spell's mana value.Choose a Background (You can have a Background as a second commander.)",Choose a background,1,3
"Livio, Oathsworn Sentinel",Human Knight,2.0,W,"{1}{W}: Choose another target creature. Its controller may exile it with an aegis counter on it.{2}{W}, {T}: Return all exiled cards with aegis counters on them to the battlefield under their owners' control.Partner (You can have two commanders if both have partner.)",Partner,2,2
Livonya Silone,Human Warrior,6.0,"G, R",First strike; legendary landwalk (This creature can't be blocked as long as defending player controls a legendary land.),"Landwalk, First strike, Legendary landwalk",4,4
"Lobelia, Defender of Bag End",Halfling Citizen,3.0,B,"When Lobelia enters, look at the top card of each opponent's library and exile those cards face down.{T}, Sacrifice an artifact: Choose one —• Until end of turn, you may play a card exiled with Lobelia without paying its mana cost.• Each opponent loses 2 life and you gain 2 life.",,2,2
Lobelia Sackville-Baggins,Halfling Citizen,3.0,B,"FlashMenaceWhen Lobelia enters, exile target creature card from an opponent's graveyard that was put there from the battlefield this turn, then create X Treasure tokens, where X is the exiled card's power.","Treasure, Menace, Flash",2,3
"Loran, Disciple of History",Human Artificer,4.0,W,"Whenever Loran or another legendary creature you control enters, return target artifact card from your graveyard to your hand.",,3,3
Loran of the Third Path,Human Artificer,3.0,W,"VigilanceWhen Loran enters, destroy up to one target artifact or enchantment.{T}: You and target opponent each draw a card.",Vigilance,2,1
"Lorcan, Warlock Collector",Devil,7.0,B,"FlyingWhenever a creature card is put into an opponent's graveyard from anywhere, you may pay life equal to its mana value. If you do, put it onto the battlefield under your control. It's a Warlock in addition to its other types.If a Warlock you control would die, exile it instead.",Flying,6,6
Lord Magnus,Human Druid,6.0,"G, W",First strikeCreatures with plainswalk can be blocked as though they didn't have plainswalk.Creatures with forestwalk can be blocked as though they didn't have forestwalk.,First strike,4,3
Lord of Tresserhorn,Zombie,4.0,"B, R, U","When Lord of Tresserhorn enters, you lose 2 life, you sacrifice two creatures, and target opponent draws two cards.{B}: Regenerate Lord of Tresserhorn.",,10,4
"Lu Bu, Master-at-Arms",Human Soldier Warrior,6.0,R,Haste; horsemanship (This creature can't be blocked except by creatures with horsemanship.),"Haste, Horsemanship",4,3
"Ludevic, Necro-Alchemist",Human Wizard,3.0,"R, U","At the beginning of each player's end step, that player may draw a card if a player other than you lost life this turn.Partner (You can have two commanders if both have partner.)",Partner,1,4
"Ludevic, Necrogenius // Olag, Ludevic's Hubris",Human Wizard // Legendary Creature,2.0,"B, U",Missing Oracle Text,"Transform, Mill",0,0
"Lukamina, Moon Druid",Human Druid,3.0,G,"Wild Shape — Specialize {3}. Activate only if you control six or more lands.When Lukamina, Moon Druid enters, if you cast it, seek a land card with a basic land type.","Wild Shape, Seek, Specialize",2,2
"Lulu, Forgetful Hollyphant",Elephant Angel,3.0,W,"FlyingSpecialize {2}When Lulu, Forgetful Hollyphant enters, you get a one-time boon with ""When you cast a creature spell without flying, it perpetually gains flying.""","Specialize, Flying",1,3
"Lulu, Loyal Hollyphant",Elephant Angel,4.0,W,"FlyingAt the beginning of your end step, if a permanent you controlled left the battlefield this turn, put a +1/+1 counter on each tapped creature you control, then untap them.Choose a Background (You can have a Background as a second commander.)","Flying, Choose a background",3,2
"Lu Meng, Wu General",Human Soldier,5.0,U,Horsemanship (This creature can't be blocked except by creatures with horsemanship.),Horsemanship,4,4
"Lu Su, Wu Advisor",Human Advisor,5.0,U,"{T}: Draw a card. Activate only during your turn, before attackers are declared.",,1,2
"Lu Xun, Scholar General",Human Soldier,4.0,U,"Horsemanship (This creature can't be blocked except by creatures with horsemanship.)Whenever Lu Xun deals damage to an opponent, you may draw a card.",Horsemanship,1,3
"Ma Chao, Western Warrior",Human Soldier Warrior,5.0,R,"Horsemanship (This creature can't be blocked except by creatures with horsemanship.)Whenever Ma Chao attacks alone, it can't be blocked this combat.",Horsemanship,3,3
Madame Vastra,Lizard Detective,4.0,"G, U","Partner with Jenny Flint (When this creature enters, target player may put Jenny Flint into their hand from their library, then shuffle.)Madame Vastra must be blocked if able.Whenever a creature dealt damage by Madame Vastra this turn dies, create a Clue token and a Food token.","Partner with, Food, Partner",3,3
"Maga, Traitor to Mortals",Human Wizard,3.0,B,"Maga enters with X +1/+1 counters on it.When Maga enters, target player loses life equal to the number of +1/+1 counters on it.",,0,0
Mageta the Lion,Human Spellshaper,5.0,W,"{2}{W}{W}, {T}, Discard two cards: Destroy all creatures except for Mageta. Those creatures can't be regenerated.",,3,3
Major Teroh,Bird Soldier,4.0,W,"Flying{3}{W}{W}, Sacrifice Major Teroh: Exile all black creatures.",Flying,2,3
"Malcolm, Keen-Eyed Navigator",Siren Pirate,3.0,U,"FlyingWhenever one or more Pirates you control deal damage to your opponents, you create a Treasure token for each opponent dealt damage. (It's an artifact with ""{T}, Sacrifice this token: Add one mana of any color."")Partner (You can have two commanders if both have partner.)","Flying, Treasure, Partner",2,2
"Malcolm, the Eyes",Siren Pirate,2.0,"R, U","Flying, hasteWhenever you cast your second spell each turn, investigate. (Create a Clue token. It's an artifact with ""{2}, Sacrifice this token: Draw a card."")","Flying, Investigate, Haste",2,2
Mangara of Corondor,Human Wizard,3.0,W,{T}: Exile Mangara and target permanent.,,1,1
"Mangara, the Diplomat",Human Cleric,4.0,W,"LifelinkWhenever an opponent attacks with creatures, if two or more of those creatures are attacking you and/or planeswalkers you control, draw a card.Whenever an opponent casts their second spell each turn, draw a card.",Lifelink,2,4
"Mannichi, the Fevered Dream",Spirit,3.0,R,{1}{R}: Switch each creature's power and toughness until end of turn.,,1,2
Maraxus of Keld,Human Warrior,6.0,R,"Maraxus's power and toughness are each equal to the number of untapped artifacts, creatures, and lands you control.",,0,0
Marhault Elsdragon,Elf Warrior,6.0,"G, R","Rampage 1 (Whenever this creature becomes blocked, it gets +1/+1 until end of turn for each creature blocking it beyond the first.)",Rampage,4,6
Martha Jones,Human Cleric,3.0,U,"Woman Who Walked the Earth — When Martha Jones enters, investigate. (Create a Clue token. It's an artifact with ""{2}, Sacrifice this token: Draw a card."")Whenever you sacrifice a Clue, Martha Jones and up to one other target creature can't be blocked this turn.Doctor's companion (You can have two commanders if the other is the Doctor.)","Investigate, Woman Who Walked the Earth, Doctor's companion",3,2
Marton Stromgald,Human Knight,4.0,R,"Whenever Márton Stromgald attacks, other attacking creatures get +1/+1 until end of turn for each attacking creature other than Márton Stromgald.Whenever Márton Stromgald blocks, other blocking creatures get +1/+1 until end of turn for each blocking creature other than Márton Stromgald.",,1,1
"Marvin, Murderous Mimic",Toy,2.0,No Color Identity,Marvin has all activated abilities of creatures you control that don't have the same name as this creature.,,2,2
Mary O'Kill,Human Villain,6.0,"B, R","{1}{B/R}: Switch a Killbot or Mary O'Kill in your hand with one on the battlefield. (If a creature is tapped, the switched creature is tapped. The same is true for untapped, attacking, blocking, enchanted, equipped, and targeted. Any counters on a creature are on the switched creature instead.)",,5,5
Master Chef,Background,3.0,G,"Commander creatures you own have ""This creature enters with an additional +1/+1 counter on it"" and ""Other creatures you control enter with an additional +1/+1 counter on them.""",,0,0
Mastermind Plum,Human Wizard,3.0,B,"Whenever Mastermind Plum attacks, exile up to one target card from a graveyard. If an artifact card was exiled this way, create a Treasure token. (It's an artifact with ""{T}, Sacrifice this token: Add one mana of any color."")Whenever you cast a spell, if mana from a Treasure was spent to cast it, you draw a card and you lose 1 life.",Treasure,2,2
"Masumaro, First to Live",Spirit,6.0,G,Masumaro's power and toughness are each equal to twice the number of cards in your hand.,,0,0
"Mathise, Surge Channeler",Human Elf Shaman,3.0,U,"Whenever you cast an instant or sorcery spell with mana value 3 or greater, roll a d20.1-9 | Each player draws a card.10-19 | You draw a card.20 | Copy that spell. You may choose new targets for the copy.",,1,1
"Mavren Fein, Dusk Apostle",Vampire Cleric,3.0,W,"Whenever one or more nontoken Vampires you control attack, create a 1/1 white Vampire creature token with lifelink.",,2,2
"Meet and Greet ""Sisay""",Elf Performer,2.0,"G, R","Whenever you cast a spell, choose one —• Flavor — Meet and Greet ""Sisay"" gets +1/+1 until end of turn for each line of flavor text that spell has.• History — Create a Treasure token if that spell doesn't share an expansion symbol with a permanent you control or a card in your graveyard.","History, Treasure, Flavor",1,1
"Megatron, Tyrant // Megatron, Destructive Force",Robot // Legendary Artifact,6.0,"B, R, W",Missing Oracle Text,"Living metal, Convert, More Than Meets the Eye",0,0
"Melira, Sylvok Outcast",Human Scout,2.0,G,You can't get poison counters.Creatures you control can't have -1/-1 counters put on them.Creatures your opponents control lose infect.,,2,2
"Melira, the Living Cure",Human Scout,2.0,"G, W","If you would get one or more poison counters, instead you get one poison counter and you can't get additional poison counters this turn.Exile Melira: Choose another target creature or artifact. When it's put into a graveyard this turn, return that card to the battlefield under its owner's control.",,3,3
"Meneldor, Swift Savior",Bird Soldier,4.0,U,"FlyingWhenever Meneldor deals combat damage to a player, exile up to one target creature you own, then return it to the battlefield under your control.",Flying,3,3
"Meng Huo, Barbarian King",Human Barbarian Soldier,5.0,G,Other green creatures you control get +1/+1.,,4,4
Meriadoc Brandybuck,Halfling Citizen,2.0,G,"Whenever one or more Halflings you control attack a player, create a Food token. (It's an artifact with ""{2}, {T}, Sacrifice this token: You gain 3 life."")",Food,2,2
"Merry, Esquire of Rohan",Halfling Knight,2.0,"R, W","HasteMerry has first strike as long as it's equipped.Whenever you attack with Merry and another legendary creature, draw a card.",Haste,2,2
"Merry, Warden of Isengard",Halfling Advisor,3.0,"G, W","Partner with Pippin, Warden of Isengard (When this creature enters, target player may put Pippin into their hand from their library, then shuffle.)Whenever one or more artifacts you control enter, create a 1/1 white Soldier creature token with lifelink. This ability triggers only once each turn.","Partner with, Partner",1,4
"Miara, Thorn of the Glade",Elf Scout,2.0,B,"Whenever Miara or another Elf you control dies, you may pay {1} and 1 life. If you do, draw a card.Partner (You can have two commanders if both have partner.)",Partner,1,2
"Mikaeus, the Lunarch",Human Cleric,1.0,W,"Mikaeus enters with X +1/+1 counters on it.{T}: Put a +1/+1 counter on Mikaeus.{T}, Remove a +1/+1 counter from Mikaeus: Put a +1/+1 counter on each other creature you control.",,0,0
"Mila, Crafty Companion // Lukka, Wayward Bonder",Fox // Legendary Planeswalker,3.0,"R, W",Missing Oracle Text,,0,0
Minthara of the Absolute,Elf Cleric,4.0,"B, W","Starting intensity 0Creatures you control get +X/+0, where X is Minthara of the Absolute's intensity.Whenever one or more permanents you control leave the battlefield, cards you own named Minthara of the Absolute intensify by 1. This ability triggers only once each turn.",Intensity,2,4
"Mirri, Cat Warrior",Cat Warrior,3.0,G,"First strike, forestwalk, vigilance (This creature deals combat damage before creatures without first strike, it can't be blocked as long as defending player controls a Forest, and attacking doesn't cause this creature to tap.)","Landwalk, Vigilance, First strike, Forestwalk",2,3
Mirri the Cursed,Vampire Cat,4.0,B,"Flying, first strike, hasteWhenever Mirri deals combat damage to a creature, put a +1/+1 counter on Mirri.","Flying, First strike, Haste",3,2
"Mishra, Excavation Prodigy",Human Artificer,3.0,R,"Haste{1}, {T}, Discard a card: Draw a card.Whenever you discard one or more artifact cards, add {R}{R}. This ability triggers only once each turn.",Haste,2,1
Mitotic Ultimus,Ooze Giant,9.0,G,"This spell costs {X} less to cast, where X is the greatest power among creatures you control.TrampleWhen Mitotic Ultimus dies, conjure two cards named Mitotic Slime onto the battlefield.","Trample, Conjure",8,8
"Moira Brown, Guide Author",Human Citizen,3.0,"R, W","When Moira Brown enters, create a colorless Equipment artifact token named Wasteland Survival Guide with ""Equipped creature gets +1/+1 for each quest counter among permanents you control"" and equip {1}.Whenever you attack, put a quest counter on target nonland permanent you control.",,2,3
"Moira, Urborg Haunt",Spirit Wizard,3.0,B,"MenaceWhenever Moira deals combat damage to a player, return to the battlefield target creature card in your graveyard that was put there from the battlefield this turn.",Menace,3,2
"Molimo, Maro-Sorcerer",Elemental,7.0,G,Trample (This creature can deal excess combat damage to the player or planeswalker it's attacking.)Molimo's power and toughness are each equal to the number of lands you control.,Trample,0,0
"Momir Vig, Simic Visionary",Elf Wizard,5.0,"G, U","Whenever you cast a green creature spell, you may search your library for a creature card, reveal it, then shuffle and put that card on top.Whenever you cast a blue creature spell, reveal the top card of your library. If it's a creature card, put that card into your hand.",,2,2
"Monoxa, Midway Manager",Vampire Employee,4.0,"B, R","Whenever you roll a 3 or higher, Monoxa gains first strike until end of turn. If the roll was 4 or higher, it gains menace until end of turn. If the roll was 5 or higher, it gains lifelink until end of turn.{6}: Roll a six-sided die.",,3,3
Monstrosity of the Lake,Kraken,5.0,U,"When Monstrosity of the Lake enters, you may pay {5}. If you do, tap all creatures your opponents control, then put a stun counter on each of those creatures. (If a permanent with a stun counter would become untapped, remove one from it instead.)Islandcycling {2} ({2}, Discard this card: Search your library for an Island card, reveal it, put it into your hand, then shuffle.)","Islandcycling, Landcycling, Typecycling, Cycling",4,6
Morinfen,Phyrexian Horror,5.0,B,"FlyingCumulative upkeep—Pay 1 life. (At the beginning of your upkeep, put an age counter on this permanent, then sacrifice it unless you pay its upkeep cost for each age counter on it.)","Cumulative upkeep, Flying",5,4
"Mowu, Loyal Companion",Dog,4.0,G,"Vigilance, trampleIf one or more +1/+1 counters would be put on Mowu, that many plus one +1/+1 counters are put on it instead.","Vigilance, Trample",3,3
"Multani, Maro-Sorcerer",Elemental,6.0,G,Shroud (This creature can't be the target of spells or abilities.)Multani's power and toughness are each equal to the total number of cards in all players' hands.,Shroud,0,0
"Multani, Yavimaya's Avatar",Elemental Avatar,6.0,G,"Reach, trampleMultani gets +1/+1 for each land you control and each land card in your graveyard.{1}{G}, Return two lands you control to their owner's hand: Return Multani from your graveyard to your hand.","Reach, Trample",0,0
"Muzzio, Visionary Architect",Human Artificer,3.0,U,"{3}{U}, {T}: Look at the top X cards of your library, where X is the highest mana value among artifacts you control. You may put an artifact card from among them onto the battlefield. Put the rest on the bottom of your library in any order.",,1,3
Myojin of Blooming Dawn,Spirit,8.0,W,Myojin of Blooming Dawn enters with an indestructible counter on it if you cast it from your hand.Remove an indestructible counter from Myojin of Blooming Dawn: Create a 1/1 colorless Spirit creature token for each permanent you control.,,4,6
Myojin of Cleansing Fire,Spirit,8.0,W,Myojin of Cleansing Fire enters with a divinity counter on it if you cast it from your hand.Myojin of Cleansing Fire has indestructible as long as it has a divinity counter on it.Remove a divinity counter from Myojin of Cleansing Fire: Destroy all other creatures.,,4,6
Myojin of Cryptic Dreams,Spirit,8.0,U,Myojin of Cryptic Dreams enters with an indestructible counter on it if you cast it from your hand.Remove an indestructible counter from Myojin of Cryptic Dreams: Copy target permanent spell you control three times. (The copies become tokens.),,3,3
Myojin of Grim Betrayal,Spirit,8.0,B,Myojin of Grim Betrayal enters with an indestructible counter on it if you cast it from your hand.Remove an indestructible counter from Myojin of Grim Betrayal: Put onto the battlefield under your control all creature cards in all graveyards that were put there from anywhere this turn.,,5,2
Myojin of Infinite Rage,Spirit,10.0,R,Myojin of Infinite Rage enters with a divinity counter on it if you cast it from your hand.Myojin of Infinite Rage has indestructible as long as it has a divinity counter on it.Remove a divinity counter from Myojin of Infinite Rage: Destroy all lands.,,7,4
Myojin of Life's Web,Spirit,9.0,G,Myojin of Life's Web enters with a divinity counter on it if you cast it from your hand.Myojin of Life's Web has indestructible as long as it has a divinity counter on it.Remove a divinity counter from Myojin of Life's Web: Put any number of creature cards from your hand onto the battlefield.,,8,8
Myojin of Night's Reach,Spirit,8.0,B,Myojin of Night's Reach enters with a divinity counter on it if you cast it from your hand.Myojin of Night's Reach has indestructible as long as it has a divinity counter on it.Remove a divinity counter from Myojin of Night's Reach: Each opponent discards their hand.,,5,2
Myojin of Roaring Blades,Spirit,8.0,R,Myojin of Roaring Blades enters with an indestructible counter on it if you cast it from your hand.Remove an indestructible counter from Myojin of Roaring Blades: It deals 7 damage to each of up to three targets.,,7,4
Myojin of Seeing Winds,Spirit,10.0,U,Myojin of Seeing Winds enters with a divinity counter on it if you cast it from your hand.Myojin of Seeing Winds has indestructible as long as it has a divinity counter on it.Remove a divinity counter from Myojin of Seeing Winds: Draw a card for each permanent you control.,,3,3
Myojin of Towering Might,Spirit,8.0,G,Myojin of Towering Might enters with an indestructible counter on it if you cast it from your hand.Remove an indestructible counter from Myojin of Towering Might: Distribute eight +1/+1 counters among any number of target creatures you control. They gain trample until end of turn.,,8,8
Mythweaver Poq,Cat Shaman,4.0,G,"Mythweaver Poq's power and toughness are each equal to the number of lands you control.Whenever one or more nontoken lands enter under your control, for each of them, conjure a duplicate of it onto the battlefield. This ability triggers only once each turn.",Conjure,0,0
"Nadier, Agent of the Duskenel",Elf Warrior,6.0,B,"Whenever a token you control leaves the battlefield, put a +1/+1 counter on Nadier.When Nadier leaves the battlefield, create a number of 1/1 green Elf Warrior creature tokens equal to its power.Partner (You can have two commanders if both have partner.)",Partner,3,3
"Nael, Avizoa Aeronaut",Elf Scout,4.0,"G, U","FlyingDomain — Whenever Nael deals combat damage to a player, look at the top X cards of your library, where X is the number of basic land types among lands you control. Put up to one of them on top of your library and the rest on the bottom in a random order. Then if there are five basic land types among lands you control, draw a card.","Flying, Domain",2,4
"Najal, the Storm Runner",Efreet Wizard,5.0,"R, U","You may cast sorcery spells as though they had flash.Whenever Najal attacks, you may pay {2}. If you do, when you next cast an instant or sorcery spell this turn, copy it. You may choose new targets for the copy.",,5,4
"Nardole, Resourceful Cyborg",Scientist,2.0,U,"{T}: Add {U} for each counter on Nardole. Spend this mana only to cast noncreature spells.Undying (When this creature dies, if it had no +1/+1 counters on it, return it to the battlefield under its owner's control with a +1/+1 counter on it.)Doctor's companion (You can have two commanders if the other is the Doctor.)","Undying, Doctor's companion",1,2
"Narset, Jeskai Waymaster",Human Monk,3.0,"R, U, W","At the beginning of your end step, you may discard your hand. If you do, draw cards equal to the number of spells you've cast this turn.",,3,4
"Nashi, Illusion Gadgeteer",Rat Rogue,4.0,"B, G, U","FlashMenace, Ward {2}When Nashi enters, secretly choose a card in your graveyard and conjure a duplicate of it into your hand. If the duplicate isn't a land card, it perpetually gains flash.","Menace, Ward, Flash, Conjure",4,4
"Nazar, the Velvet Fang",Vampire Warlock,4.0,B,"Menace (This creature can't be blocked except by two or more creatures.)Whenever you gain life, put a feeding counter on Nazar.Whenever Nazar attacks, you may remove three feeding counters from it. If you do, you draw three cards and you lose 3 life.",Menace,3,3
"Nefarox, Overlord of Grixis",Demon,6.0,B,"FlyingExalted (Whenever a creature you control attacks alone, that creature gets +1/+1 until end of turn.)Whenever Nefarox attacks alone, defending player sacrifices a creature of their choice.","Flying, Exalted",5,5
"Neheb, Dreadhorde Champion",Zombie Minotaur Warrior,4.0,R,"TrampleWhenever Neheb deals combat damage to a player or planeswalker, you may discard any number of cards. If you do, draw that many cards and add that much {R}. Until end of turn, you don't lose this mana as steps and phases end.",Trample,5,4
"Neriv, Crackling Vanguard",Spirit Dragon,5.0,"B, R, W","Flying, deathtouchWhen Neriv enters, create two 1/1 red Goblin creature tokens.Whenever Neriv attacks, exile a number of cards from the top of your library equal to the number of differently named tokens you control. During any turn you attacked with a commander, you may play those cards.","Deathtouch, Flying",4,4
Neyam Shai Murad,Human Rogue,4.0,"B, W","Rogue Trader — Whenever Neyam Shai Murad deals combat damage to a player, you may have that player return target permanent card from their graveyard to their hand. If you do, that player chooses a permanent card in your graveyard, then you put it onto the battlefield under your control.",Rogue Trader,3,3
"Niambi, Beloved Protector",Human Cleric,2.0,"U, W","FlashWhen Niambi, Beloved Protector enters, if you cast it, choose target nonlegendary creature card in your graveyard that was put there from the battlefield this turn. Return it to the battlefield. It perpetually gains ""Whenever this creature becomes the target of a spell or ability, draw a card. This ability triggers only once each turn.""",Flash,2,2
"Niambi, Esteemed Speaker",Human Cleric,2.0,"U, W","FlashWhen Niambi enters, you may return another target creature you control to its owner's hand. If you do, you gain life equal to that creature's mana value.{1}{W}{U}, {T}, Discard a legendary card: Draw two cards.",Flash,2,1
"Niambi, Faithful Healer",Human Cleric,3.0,"U, W","When Niambi enters, you may search your library and/or graveyard for a card named Teferi, Timebender, reveal it, and put it into your hand. If you search your library this way, shuffle.",,2,2
"Nicol Bolas, the Ravager // Nicol Bolas, the Arisen",Elder Dragon // Legendary Planeswalker,4.0,"B, R, U",Missing Oracle Text,"Flying, Transform",0,0
"Nikara, Lair Scavenger",Human Cleric,3.0,B,"Partner with Yannik, Scavenging Sentinel (When this creature enters, target player may put Yannik into their hand from their library, then shuffle.)MenaceWhenever another creature you control leaves the battlefield, if it had one or more counters on it, you draw a card and you lose 1 life.","Partner with, Partner, Menace",2,2
"Nissa, Vastwood Seer // Nissa, Sage Animist",Elf Scout // Legendary Planeswalker,3.0,G,Missing Oracle Text,Transform,0,0
"Niv-Mizzet, Dracogenius",Dragon Wizard,6.0,"R, U","FlyingWhenever Niv-Mizzet deals damage to a player, you may draw a card.{U}{R}: Niv-Mizzet deals 1 damage to any target.",Flying,5,5
"Niv-Mizzet, the Firemind",Dragon Wizard,6.0,"R, U","FlyingWhenever you draw a card, Niv-Mizzet deals 1 damage to any target.{T}: Draw a card.",Flying,4,4
Noble Heritage,Background,2.0,W,"Commander creatures you own have ""When this creature enters and at the beginning of your upkeep, each player may put two +1/+1 counters on a creature they control. For each opponent who does, you gain protection from that player until your next turn."" (You can't be targeted, dealt damage, or enchanted by anything controlled by that player.)",,0,0
Nocturno of Myra's Marvels,Vampire Performer,4.0,B,"As Nocturno of Myra's Marvels enters, choose a word with five or more letters.Whenever you cast a spell with the chosen word in its rules text, you draw a card and you lose 2 life.Partner (You can have two commanders if both have partner.)",Partner,2,2
"Nogi, Draco-Zealot",Kobold Shaman,3.0,R,"Dragon spells you cast cost {1} less to cast.Whenever Nogi attacks, if you control three or more Dragons, until end of turn, Nogi becomes a Dragon with base power and toughness 5/5 and gains flying.",,3,3
"Norin, Swift Survivalist",Human Coward,1.0,R,"Norin can't block.Whenever a creature you control becomes blocked, you may exile it. You may play that card from exile this turn.",,2,1
"Numa, Joraga Chieftain",Elf Warrior,3.0,G,"At the beginning of combat on your turn, you may pay {X}{X}. When you do, distribute X +1/+1 counters among any number of target Elves.Partner (You can have two commanders if both have partner.)",Partner,2,2
"Nylea, God of the Hunt",God,4.0,G,"IndestructibleAs long as your devotion to green is less than five, Nylea isn't a creature. (Each {G} in the mana costs of permanents you control counts toward your devotion to green.)Other creatures you control have trample.{3}{G}: Target creature gets +2/+2 until end of turn.",Indestructible,6,6
Nyssa of Traken,Human Scientist,4.0,U,"You have no maximum hand size.Sonic Booster — Whenever Nyssa of Traken attacks, sacrifice any number of artifacts. When you sacrifice one or more artifacts this way, tap up to that many target creatures and draw that many cards.Doctor's companion (You can have two commanders if the other is the Doctor.)","Sonic Booster, Doctor's companion",3,4
"Ob Nixilis, the Fallen",Demon,5.0,B,"Landfall — Whenever a land you control enters, you may have target player lose 3 life. If you do, put three +1/+1 counters on Ob Nixilis.",Landfall,3,3
"Obzedat, Ghost Council",Spirit Advisor,5.0,"B, W","When Obzedat enters, target opponent loses 2 life and you gain 2 life.At the beginning of your end step, you may exile Obzedat. If you do, return it to the battlefield under its owner's control at the beginning of your next upkeep. It gains haste.",,5,5
