Name,Type,CMC,Color Identity,Oracle Text,Keywords,Power,Toughness,theme_label
"Naban, Dean of Iteration",Human Wizard,2.0,U,"If a Wizard you control entering causes a triggered ability of a permanent you control to trigger, that ability triggers an additional time.",,2,1,Wizards
"Nadaar, Selfless Paladin",Dragon Knight,3.0,W,"VigilanceWhenever Nadaar enters or attacks, venture into the dungeon. (Enter the first room or advance to the next room.)Other creatures you control get +1/+1 as long as you've completed a dungeon.","Vigilance, Venture into the dungeon",3,3,Dungeon
"Nagao, Bound by Honor",Human Samurai,4.0,W,"Bushido 1 (Whenever this creature blocks or becomes blocked, it gets +1/+1 until end of turn.)Whenever Nagao attacks, Samurai creatures you control get +1/+1 until end of turn.",Bushido,3,3,Samurai
"Nahiri, Forged in Fury",Kor Artificer,6.0,"R, W","Affinity for Equipment (This spell costs {1} less to cast for each Equipment you control.)Whenever an equipped creature you control attacks, exile the top card of your library. You may play that card this turn. You may cast Equipment spells this way without paying their mana costs.",Affinity,5,4,Equipment
"Nahiri, the Lithomancer",Nahiri,5.0,W,"+2: Create a 1/1 white Kor Soldier creature token. You may attach an Equipment you control to it.−2: You may put an Equipment card from your hand or graveyard onto the battlefield.−10: Create a colorless Equipment artifact token named Stoneforged Blade. It has indestructible, ""Equipped creature gets +5/+5 and has double strike,"" and equip {0}.Nahiri, the Lithomancer can be your commander.",,0,0,Kor
"Najeela, the Blade-Blossom",Human Warrior,3.0,"B, G, R, U, W","Whenever a Warrior attacks, you may have its controller create a 1/1 white Warrior creature token that's tapped and attacking.{W}{U}{B}{R}{G}: Untap all attacking creatures. They gain trample, lifelink, and haste until end of turn. After this phase, there is an additional combat phase. Activate only during combat.",,3,2,Warriors
Nalia de'Arnise,Human Rogue,3.0,"B, W","You may look at the top card of your library any time.You may cast Cleric, Rogue, Warrior, and Wizard spells from the top of your library.At the beginning of combat on your turn, if you have a full party, put a +1/+1 counter on each creature you control and those creatures gain deathtouch until end of turn.",,3,3,Party
"Naomi, Pillar of Order",Human Advisor,5.0,"B, W","Whenever Naomi enters or attacks, if you control an artifact and an enchantment, create a 2/2 white Samurai creature token with vigilance.",,4,4,Myriad
"Narci, Fable Singer",Human Bard,4.0,"B, G, W","LifelinkWhenever you sacrifice an enchantment, draw a card.Whenever the final chapter ability of a Saga you control resolves, each opponent loses X life and you gain X life, where X is that Saga's mana value.",Lifelink,3,3,Sagas
"Narfi, Betrayer King",Zombie Wizard,5.0,"B, U",Other snow and Zombie creatures you control get +1/+1.{S}{S}{S}: Return this card from your graveyard to the battlefield tapped. ({S} can be paid with one mana from a snow source.),,4,3,Snow
"Narset, Enlightened Exile",Human Monk,4.0,"R, U, W","Creatures you control have prowess.Whenever Narset attacks, exile target noncreature, nonland card with mana value less than Narset's power from a graveyard and copy it. You may cast the copy without paying its mana cost.",,3,4,Prowess
"Narset, Enlightened Master",Human Monk,6.0,"R, U, W","First strike, hexproofWhenever Narset attacks, exile the top four cards of your library. Until end of turn, you may cast noncreature spells from among those cards without paying their mana costs.","Hexproof, First strike",3,2,Extra Turns
"Naru Meha, Master Wizard",Human Wizard,4.0,U,"FlashWhen Naru Meha enters, copy target instant or sorcery spell you control. You may choose new targets for the copy.Other Wizards you control get +1/+1.",Flash,3,3,Wizards
"Nashi, Moon Sage's Scion",Rat Ninja,3.0,B,"Ninjutsu {3}{B} ({3}{B}, Return an unblocked attacker you control to hand: Put this card onto the battlefield from your hand tapped and attacking.)Whenever Nashi deals combat damage to a player, exile the top card of each player's library. Until end of turn, you may play one of those cards. If you cast a spell this way, pay life equal to its mana value rather than paying its mana cost.",Ninjutsu,3,2,Rats
"Nashi, Moon's Legacy",Rat Shaman,3.0,"B, G, U","Menace, ward {1}Whenever Nashi attacks, exile up to one target legendary or Rat card from your graveyard and copy it. You may cast the copy. (You still pay its costs. A copy of a permanent spell becomes a token.)","Menace, Ward",3,4,Rat Colony
"Nashi, Searcher in the Dark",Rat Ninja Wizard,2.0,"B, U","MenaceWhenever Nashi deals combat damage to a player, you mill that many cards. You may put any number of legendary and/or enchantment cards from among them into your hand. If you put no cards into your hand this way, put a +1/+1 counter on Nashi.","Menace, Mill",2,2,Rats
Nath of the Gilt-Leaf,Elf Warrior,5.0,"B, G","At the beginning of your upkeep, you may have target opponent discard a card at random.Whenever an opponent discards a card, you may create a 1/1 green Elf Warrior creature token.",,4,4,Elves
"Nazahn, Revered Bladesmith",Cat Artificer,6.0,"G, W","When Nazahn enters, search your library for an Equipment card and reveal it. If you reveal a card named Hammer of Nazahn this way, put it onto the battlefield. Otherwise, put that card into your hand. Then shuffle.Whenever an equipped creature you control attacks, you may tap target creature defending player controls.",,5,4,Cats
Nebuchadnezzar,Human Wizard,5.0,"B, U","{X}, {T}: Choose a card name. Target opponent reveals X cards at random from their hand. Then that player discards all cards with that name revealed this way. Activate only during your turn.",,3,3,Specters
"Neera, Wild Mage",Human Elf Shaman,6.0,"R, U","Whenever you cast a spell, you may put it on the bottom of its owner's library. If you do, reveal cards from the top of your library until you reveal a nonland card. You may cast that card without paying its mana cost. Then put all revealed cards not cast this way on the bottom of your library in a random order. This ability triggers only once each turn.",,2,7,Topdeck
"Neerdiv, Devious Diver",Merfolk Rogue,3.0,U,"Whenever Neerdiv becomes tapped, target player mills cards equal to its power.Whenever you cast a spell from your graveyard or activate an ability of a card in your graveyard, draw a card and put a +1/+1 counter on Neerdiv.",Mill,2,2,Flashback
"Neheb, the Eternal",Zombie Minotaur Warrior,5.0,R,"Afflict 3 (Whenever this creature becomes blocked, defending player loses 3 life.)At the beginning of each of your postcombat main phases, add {R} for each 1 life your opponents have lost this turn.",Afflict,4,6,Burn
"Neheb, the Worthy",Minotaur Warrior,3.0,"B, R","First strikeOther Minotaurs you control have first strike.As long as you have one or fewer cards in hand, Minotaurs you control get +2/+0.Whenever Neheb deals combat damage to a player, each player discards a card.",First strike,2,2,Minotaurs
"Nekusar, the Mindrazer",Zombie Wizard,5.0,"B, R, U","At the beginning of each player's draw step, that player draws an additional card.Whenever an opponent draws a card, Nekusar deals 1 damage to that player.",,2,4,Wheels
"Nelly Borca, Impulsive Accuser",Human Detective,4.0,"R, W","VigilanceWhenever Nelly Borca attacks, suspect target creature. Then goad all suspected creatures. (A suspected creature has menace and can't block.)Whenever one or more creatures an opponent controls deal combat damage to one or more of your opponents, you and the controller of those creatures each draw a card.","Goad, Vigilance",2,4,Goad
"Nemata, Grove Guardian",Treefolk,6.0,G,{2}{G}: Create a 1/1 green Saproling creature token.Sacrifice a Saproling: Saproling creatures get +1/+1 until end of turn.,,4,5,Saprolings
"Nemata, Primeval Warden",Treefolk,4.0,"B, G","ReachIf a creature an opponent controls would die, exile it instead. When you do, create a 1/1 green Saproling creature token.{G}, Sacrifice a Saproling: Nemata gets +2/+2 until end of turn.{1}{B}, Sacrifice two Saprolings: Draw a card.",Reach,3,4,Saprolings
"Neriv, Heart of the Storm",Spirit Dragon,4.0,"B, R, W","FlyingIf a creature you control that entered this turn would deal damage, it deals twice that much damage instead.",Flying,4,5,Haste
"Nethroi, Apex of Death",Cat Nightmare Beast,5.0,"B, G, W","Mutate {4}{G/W}{B}{B} (If you cast this spell for its mutate cost, put it over or under target non-Human creature you own. They mutate into the creature on top plus all abilities from under it.)Deathtouch, lifelinkWhenever this creature mutates, return any number of target creature cards with total power 10 or less from your graveyard to the battlefield.","Lifelink, Mutate, Deathtouch",5,5,Mutate
"Neva, Stalked by Nightmares",Human Noble,4.0,"B, W","MenaceWhen Neva enters, return target creature or enchantment card from your graveyard to your hand.Whenever an enchantment you control is put into a graveyard from the battlefield, put a +1/+1 counter on Neva, then scry 1.","Menace, Scry",2,2,Nightmares
"Nevinyrral, Urborg Tyrant",Zombie Wizard,6.0,"B, U, W","Hexproof from artifacts, creatures, and enchantmentsWhen Nevinyrral enters, create a tapped 2/2 black Zombie creature token for each creature that died this turn.When Nevinyrral dies, you may pay {1}. When you do, destroy all artifacts, creatures, and enchantments.","Hexproof from, Hexproof",3,6,Zombies
"Neyali, Suns' Vanguard",Human Rebel,4.0,"R, W","Attacking tokens you control have double strike.Whenever one or more tokens you control attack a player, exile the top card of your library. During any turn you attacked with a token, you may play that card.",,3,3,Tokens
Neyith of the Dire Hunt,Human Warrior,4.0,"G, R","Whenever one or more creatures you control fight or become blocked, draw a card.At the beginning of combat on your turn, you may pay {2}{R/G}. If you do, double target creature's power until end of turn. That creature must be blocked this combat if able. ({R/G} can be paid with either {R} or {G}.)",,3,3,Fight
"Nezahal, Primal Tide",Elder Dinosaur,7.0,U,"This spell can't be countered.You have no maximum hand size.Whenever an opponent casts a noncreature spell, draw a card.Discard three cards: Exile Nezahal. Return it to the battlefield tapped under its owner's control at the beginning of the next end step.",,7,7,Whales
"Nicanzil, Current Conductor",Merfolk Scout,2.0,"G, U","Whenever a creature you control explores a land card, you may put a land card from your hand onto the battlefield tapped.Whenever a creature you control explores a nonland card, put a +1/+1 counter on Nicanzil.",Explore,2,3,Merfolk
"Nick Valentine, Private Eye",Synth Detective,3.0,U,"Nick Valentine can't be blocked except by artifact creatures.Whenever Nick Valentine or another artifact creature you control dies, you may investigate. (To investigate, create a Clue token. It's an artifact with ""{2}, Sacrifice this token: Draw a card."")",Investigate,2,2,Improvise
Nicol Bolas,Elder Dragon,8.0,"B, R, U","FlyingAt the beginning of your upkeep, sacrifice Nicol Bolas unless you pay {U}{B}{R}.Whenever Nicol Bolas deals damage to an opponent, that player discards their hand.",Flying,7,7,Specters
Nihiloor,Horror,5.0,"B, U, W","When Nihiloor enters, for each opponent, tap up to one untapped creature you control. When you do, gain control of target creature that player controls with power less than or equal to the tapped creature's power for as long as you control Nihiloor.Whenever you attack with a creature an opponent owns, you gain 2 life and that player loses 2 life.",,3,5,Theft
"Niko, Light of Hope",Human Wizard,4.0,"U, W","When Niko enters, create two Shard tokens. (They're enchantments with ""{2}, Sacrifice this token: Scry 1, then draw a card.""){2}, {T}: Exile target nonlegendary creature you control. Shards you control become copies of it until the next end step. Return it to the battlefield under its owner's control at the beginning of the next end step.",Scry,3,4,Blink
Nikya of the Old Ways,Centaur Druid,5.0,"G, R","You can't cast noncreature spells.Whenever you tap a land for mana, add one mana of any type that land produced.",,5,5,Primal Surge
"Nils, Discipline Enforcer",Human Cleric,3.0,W,"At the beginning of your end step, for each player, put a +1/+1 counter on up to one target creature that player controls.Each creature with one or more counters on it can't attack you or planeswalkers you control unless its controller pays {X}, where X is the number of counters on that creature.",,2,2,Pillow Fort
Nine-Fingers Keene,Human Rogue,4.0,"B, G, U","MenaceWard—Pay 9 life.Whenever Nine-Fingers Keene deals combat damage to a player, look at the top nine cards of your library. You may put a Gate card from among them onto the battlefield. Then if you control nine or more Gates, put the rest into your hand. Otherwise, put the rest on the bottom of your library in a random order.","Menace, Ward",4,4,Lands Matter
"Nin, the Pain Artist",Vedalken Wizard,2.0,"R, U","{X}{U}{R}, {T}: Nin deals X damage to target creature. That creature's controller draws X cards.",,1,1,Enrage
"Nissa, Resurgent Animist",Elf Scout,3.0,G,"Landfall — Whenever a land you control enters, add one mana of any color. Then if this is the second time this ability has resolved this turn, reveal cards from the top of your library until you reveal an Elf or Elemental card. Put that card into your hand and the rest on the bottom of your library in a random order.",Landfall,3,3,Elementals
"Nissa, Worldsoul Speaker",Elf Druid,4.0,G,"Landfall — Whenever a land you control enters, you get {E}{E} (two energy counters).You may pay eight {E} rather than pay the mana cost for permanent spells you cast.",Landfall,3,3,Energy
"Niv-Mizzet, Guildpact",Dragon Avatar,5.0,"B, G, R, U, W","Flying, hexproof from multicoloredWhenever Niv-Mizzet deals combat damage to a player, it deals X damage to any target, target player draws X cards, and you gain X life, where X is the number of different color pairs among permanents you control that are exactly two colors.","Flying, Hexproof from, Hexproof",6,6,Legends
"Niv-Mizzet, Parun",Dragon Wizard,6.0,"R, U","This spell can't be countered.FlyingWhenever you draw a card, Niv-Mizzet deals 1 damage to any target.Whenever a player casts an instant or sorcery spell, you draw a card.",Flying,5,5,Spellslinger
Niv-Mizzet Reborn,Dragon Avatar,5.0,"B, G, R, U, W","FlyingWhen Niv-Mizzet enters, reveal the top ten cards of your library. For each color pair, choose a card that's exactly those colors from among them. Put the chosen cards into your hand and the rest on the bottom of your library in a random order.",Flying,6,6,Jegantha Companion
"Niv-Mizzet, Supreme",Dragon Avatar,5.0,"B, G, R, U, W","Flying, hexproof from monocoloredEach instant and sorcery card in your graveyard that's exactly two colors has jump-start. (You may cast that card from your graveyard by discarding a card in addition to paying its other costs. Then exile it.)","Flying, Hexproof from, Hexproof",5,5,Jegantha Companion
"Niv-Mizzet, Visionary",Dragon Wizard,6.0,"R, U","FlyingYou have no maximum hand size.Whenever a source you control deals noncombat damage to an opponent, you draw that many cards.",Flying,5,5,Burn
"Norika Yamazaki, the Poet",Human Samurai,3.0,W,"VigilanceWhenever a Samurai or Warrior you control attacks alone, you may cast target enchantment card from your graveyard this turn.",Vigilance,3,2,Samurai
Norin the Wary,Human Warrior,1.0,R,"When a player casts a spell or a creature attacks, exile Norin. Return it to the battlefield under its owner's control at the beginning of the next end step.",,2,1,Chaos
"Noyan Dar, Roil Shaper",Merfolk Ally,5.0,"U, W","Whenever you cast an instant or sorcery spell, you may put three +1/+1 counters on target land you control. If you do, that land becomes a 0/0 Elemental creature with haste that's still a land.",,4,4,Land Animation
"Numot, the Devastator",Dragon,6.0,"R, U, W","FlyingWhenever Numot deals combat damage to a player, you may pay {2}{R}. If you do, destroy up to two target lands.",Flying,6,6,Land Destruction
"Nylea, Keen-Eyed",God,4.0,G,"IndestructibleAs long as your devotion to green is less than five, Nylea isn't a creature.Creature spells you cast cost {1} less to cast.{2}{G}: Reveal the top card of your library. If it's a creature card, put it into your hand. Otherwise, you may put it into your graveyard.",Indestructible,5,6,Wurms
"Nymris, Oona's Trickster",Faerie Knight,5.0,"B, U","FlashFlyingWhenever you cast your first spell during each opponent's turn, look at the top two cards of your library. Put one of those cards into your hand and the other into your graveyard.","Flying, Flash",1,6,Flash
"Obeka, Brute Chronologist",Ogre Wizard,4.0,"B, R, U","{T}: The player whose turn it is may end the turn. (Exile all spells and abilities from the stack. The player whose turn it is discards down to their maximum hand size. Damage wears off, and ""this turn"" and ""until end of turn"" effects end.)",,3,4,Clones
"Obeka, Splitter of Seconds",Ogre Warlock,4.0,"B, R, U","MenaceWhenever Obeka deals combat damage to a player, you get that many additional upkeep steps after this phase.",Menace,2,5,Monarch
"Ob Nixilis, Captive Kingpin",Demon,4.0,"B, R","Flying, trampleWhenever one or more opponents each lose exactly 1 life, put a +1/+1 counter on Ob Nixilis. Exile the top card of your library. Until your next end step, you may play that card.","Flying, Trample",4,3,cEDH
Ob Nixilis of the Black Oath,Nixilis,5.0,B,"+2: Each opponent loses 1 life. You gain life equal to the life lost this way.−2: Create a 5/5 black Demon creature token with flying. You lose 2 life.−8: You get an emblem with ""{1}{B}, Sacrifice a creature: You gain X life and draw X cards, where X is the sacrificed creature's power.""Ob Nixilis of the Black Oath can be your commander.",,0,0,Demons
"Ob Nixilis, Unshackled",Demon,6.0,B,"Flying, trampleWhenever an opponent searches their library, that player sacrifices a creature of their choice and loses 10 life.Whenever another creature dies, put a +1/+1 counter on Ob Nixilis.","Flying, Trample",4,4,Demons
"Obosh, the Preypiercer",Hellion Horror,5.0,"B, R","Companion — Your starting deck contains only cards with odd mana values and land cards. (If this card is your chosen companion, you may put it into your hand from outside the game for {3} as a sorcery.)If a source you control with an odd mana value would deal damage to a permanent or player, it deals double that damage to that permanent or player instead.",Companion,3,5,Burn
"Obuun, Mul Daya Ancestor",Elf Spirit,4.0,"G, R, W","At the beginning of combat on your turn, up to one target land you control becomes an X/X Elemental creature with trample and haste until end of turn, where X is Obuun's power. It's still a land.Landfall — Whenever a land you control enters, put a +1/+1 counter on target creature.",Landfall,3,3,Landfall
"Obyra, Dreaming Duelist",Faerie Warrior,2.0,"B, U","FlashFlyingWhenever another Faerie you control enters, each opponent loses 1 life.","Flying, Flash",2,2,Faeries
"Octavia, Living Thesis",Elemental Octopus,10.0,U,"This spell costs {8} less to cast if you have eight or more instant and/or sorcery cards in your graveyard.Ward {8}Magecraft — Whenever you cast or copy an instant or sorcery spell, target creature has base power and toughness 8/8 until end of turn.","Magecraft, Ward",8,8,Cantrips
"Odric, Blood-Cursed",Vampire Soldier,3.0,"R, W","When Odric enters, create X Blood tokens, where X is the number of abilities from among flying, first strike, double strike, deathtouch, haste, hexproof, indestructible, lifelink, menace, reach, trample, and vigilance found among creatures you control. (Count each ability only once.)","Deathtouch, Lifelink, Reach, Indestructible, Hexproof, First strike, Haste, Trample, Menace, Double strike",3,3,Keywords
"Odric, Lunarch Marshal",Human Soldier,4.0,W,"At the beginning of each combat, creatures you control gain first strike until end of turn if a creature you control has first strike. The same is true for flying, deathtouch, double strike, haste, hexproof, indestructible, lifelink, menace, reach, skulk, trample, and vigilance.",,3,3,Keywords
"Odric, Master Tactician",Human Soldier,4.0,W,"First strike (This creature deals combat damage before creatures without first strike.)Whenever Odric and at least three other creatures attack, you choose which creatures block this combat and how those creatures block.",First strike,3,4,Soldiers
"Ognis, the Dragon's Lash",Lizard Warrior,4.0,"B, G, R","HasteWhenever a creature you control with haste attacks, create a tapped Treasure token.","Treasure, Haste",3,3,Treasure
Ohabi Caleria,Elf Archer,3.0,"G, W","ReachUntap all Archers you control during each other player's untap step.Whenever an Archer you control deals damage to a creature, you may pay {2}. If you do, draw a card.",Reach,1,3,Archers
"Oji, the Exquisite Blade",Human Monk,4.0,"U, W","When Oji enters, you gain 2 life and scry 2.Whenever you cast your second spell each turn, exile up to one target creature you control, then return it to the battlefield under its owner's control.",Scry,2,3,Blink
"O-Kagachi, Vengeful Kami",Dragon Spirit,6.0,"B, G, R, U, W","Flying, trampleWhenever O-Kagachi deals combat damage to a player, if that player attacked you during their last turn, exile target nonland permanent that player controls.","Flying, Trample",6,6,Spirits
Old Flitterfang,Rat Faerie,5.0,B,"FlyingAt the beginning of each end step, if a creature died this turn, create a Food token. (It's an artifact with ""{2}, {T}, Sacrifice this token: You gain 3 life.""){2}{B}, Sacrifice another creature or artifact: Old Flitterfang gets +2/+2 until end of turn.","Flying, Food",3,4,Rats
Old Man Willow,Treefolk,4.0,"B, G","Old Man Willow's power and toughness are each equal to the number of lands you control.Whenever Old Man Willow attacks, you may sacrifice another creature or a token. When you do, target creature an opponent controls gets -2/-2 until end of turn.",,0,0,Treefolk
Old One Eye,Tyranid,6.0,G,"TrampleOther creatures you control have trample.When Old One Eye enters, create a 5/5 green Tyranid creature token.Fast Healing — At the beginning of your first main phase, you may discard two cards. If you do, return this card from your graveyard to your hand.","Fast Healing, Trample",6,6,Tyranids
Old Rutstein,Human Peasant,3.0,"B, G","When Old Rutstein enters and at the beginning of your upkeep, mill a card. If a land card is milled this way, create a Treasure token. If a creature card is milled this way, create a 1/1 green Insect creature token. If a noncreature, nonland card is milled this way, create a Blood token.","Treasure, Mill",1,4,Insects
Old Stickfingers,Horror,2.0,"B, G","When you cast this spell, reveal cards from the top of your library until you reveal X creature cards. Put all creature cards revealed this way into your graveyard, then put the rest on the bottom of your library in a random order.Old Stickfingers's power and toughness are each equal to the number of creature cards in your graveyard.",,0,0,Reanimator
"Olivia, Crimson Bride",Vampire Noble,6.0,"B, R","Flying, hasteWhenever Olivia attacks, return target creature card from your graveyard to the battlefield tapped and attacking. It gains ""When you don't control a legendary Vampire, exile this creature.""","Flying, Haste",3,4,Vampires
"Olivia, Mobilized for War",Vampire Knight,3.0,"B, R","FlyingWhenever another creature you control enters, you may discard a card. If you do, put a +1/+1 counter on that creature, it gains haste until end of turn, and it becomes a Vampire in addition to its other types.",Flying,3,3,Madness
"Olivia, Opulent Outlaw",Vampire Assassin,4.0,"B, R, W","Flying, lifelinkWhenever one or more outlaws you control deal combat damage to a player, create a Treasure token. (Assassins, Mercenaries, Pirates, Rogues, and Warlocks are outlaws.){3}, Sacrifice two Treasures: Put two +1/+1 counters on each creature you control. Activate only as a sorcery.","Flying, Lifelink, Treasure",3,3,Treasure
Olivia Voldaren,Vampire,4.0,"B, R",Flying{1}{R}: Olivia Voldaren deals 1 damage to another target creature. That creature becomes a Vampire in addition to its other types. Put a +1/+1 counter on Olivia Voldaren.{3}{B}{B}: Gain control of target Vampire for as long as you control Olivia Voldaren.,Flying,3,3,Vampires
"Oloro, Ageless Ascetic",Giant Soldier,6.0,"B, U, W","At the beginning of your upkeep, you gain 2 life.Whenever you gain life, you may pay {1}. If you do, draw a card and each opponent loses 1 life.At the beginning of your upkeep, if Oloro is in the command zone, you gain 2 life.",,4,5,Lifegain
"Omarthis, Ghostfire Initiate",Spirit Snake,0.0,No Color Identity,"Omarthis enters with X +1/+1 counters on it.Whenever you put one or more +1/+1 counters on another colorless creature, you may put a +1/+1 counter on Omarthis.When Omarthis dies, manifest a number of cards from the top of your library equal to the number of counters on it.",Manifest,0,0,Modular
"Omnath, Locus of All",Phyrexian Elemental,5.0,"B, G, R, U, W","If you would lose unspent mana, that mana becomes black instead.At the beginning of your first main phase, look at the top card of your library. You may reveal that card if it has three or more colored mana symbols in its mana cost. If you do, add three mana in any combination of its colors and put it into your hand. If you don't reveal it, put it into your hand.",,4,4,Lands Matter
"Omnath, Locus of Creation",Elemental,4.0,"G, R, U, W","When Omnath enters, draw a card.Landfall — Whenever a land you control enters, you gain 4 life if this is the first time this ability has resolved this turn. If it's the second time, add {R}{G}{W}{U}. If it's the third time, Omnath deals 4 damage to each opponent and each planeswalker you don't control.",Landfall,4,4,Landfall
"Omnath, Locus of Mana",Elemental,3.0,G,You don't lose unspent green mana as steps and phases end.Omnath gets +1/+1 for each unspent green mana you have.,,1,1,Elves
"Omnath, Locus of Rage",Elemental,7.0,"G, R","Landfall — Whenever a land you control enters, create a 5/5 red and green Elemental creature token.Whenever Omnath or another Elemental you control dies, Omnath deals 3 damage to any target.",Landfall,5,5,Landfall
"Omnath, Locus of the Roil",Elemental,4.0,"G, R, U","When Omnath enters, it deals damage to any target equal to the number of Elementals you control.Landfall — Whenever a land you control enters, put a +1/+1 counter on target Elemental you control. If you control eight or more lands, draw a card.",Landfall,3,3,Elementals
"Omo, Queen of Vesuva",Shapeshifter Noble,3.0,"G, U","Whenever Omo enters or attacks, put an everything counter on each of up to one target land and up to one target creature.Each land with an everything counter on it is every land type in addition to its other types.Each nonland creature with an everything counter on it is every creature type.",,1,5,Lands Matter
"Oona, Queen of the Fae",Faerie Wizard,6.0,"B, U","Flying{X}{U/B}: Choose a color. Target opponent exiles the top X cards of their library. For each card of the chosen color exiled this way, create a 1/1 blue and black Faerie Rogue creature token with flying.",Flying,5,5,Faeries
"Opal-Eye, Konda's Yojimbo",Fox Samurai,3.0,W,"Defender (This creature can't attack.)Bushido 1 (Whenever this creature blocks or becomes blocked, it gets +1/+1 until end of turn.){T}: The next time a source of your choice would deal damage this turn, that damage is dealt to Opal-Eye instead.{1}{W}: Prevent the next 1 damage that would be dealt to Opal-Eye this turn.","Bushido, Defender",1,4,Foxes
"Orah, Skyclave Hierophant",Kor Cleric,4.0,"B, W","LifelinkWhenever Orah or another Cleric you control dies, return target Cleric card with lesser mana value from your graveyard to the battlefield.",Lifelink,3,3,Clerics
"Orim, Samite Healer",Human Cleric,3.0,W,{T}: Prevent the next 3 damage that would be dealt to any target this turn.,,1,3,Clerics
"Orvar, the All-Form",Shapeshifter,4.0,U,"ChangelingWhenever you cast an instant or sorcery spell, if it targets one or more other permanents you control, create a token that's a copy of one of those permanents.When a spell or ability an opponent controls causes you to discard this card, create a token that's a copy of target permanent.",Changeling,3,3,Cantrips
"Osgir, the Reconstructor",Giant Artificer,4.0,"R, W","Vigilance{1}, Sacrifice an artifact: Target creature you control gets +2/+0 until end of turn.{X}, {T}, Exile an artifact card with mana value X from your graveyard: Create two tokens that are copies of the exiled card. Activate only as a sorcery.",Vigilance,4,4,Artifacts
"Osgood, Operation Double",Human Alien Shapeshifter,4.0,U,"When you cast this spell, create a token that's a copy of it, except it isn't legendary.{T}: Add {C}. Spend this mana only to cast an artifact spell or activate an ability of an artifact.Paradox — Whenever you cast a spell from anywhere other than your hand, investigate. (Create a Clue token. It's an artifact with ""{2}, Sacrifice this token: Draw a card."")","Investigate, Paradox",2,2,Foretell
"Oskar, Rubbish Reclaimer",Human Wizard,5.0,"B, U","This spell costs {1} less to cast for each different mana value among cards in your graveyard.Whenever you discard a nonland card, you may cast it from your graveyard.",,3,3,Discard
Oswald Fiddlebender,Gnome Artificer,2.0,W,"Magical Tinkering — {W}, {T}, Sacrifice an artifact: Search your library for an artifact card with mana value equal to 1 plus the sacrificed artifact's mana value, put it onto the battlefield, then shuffle. Activate only as a sorcery.",,2,2,Toolbox
"Otharri, Suns' Glory",Phoenix,5.0,"R, W","Flying, lifelink, hasteWhenever Otharri attacks, you get an experience counter. Then create a 2/2 red Rebel creature token that's tapped and attacking for each experience counter you have.{2}{R}{W}, Tap an untapped Rebel you control: Return this card from your graveyard to the battlefield tapped.","Flying, Lifelink, Haste",3,3,Extra Combats
"Otrimi, the Ever-Playful",Nightmare Beast,6.0,"B, G, U","Mutate {1}{B}{G}{U} (If you cast this spell for its mutate cost, put it over or under target non-Human creature you own. They mutate into the creature on top plus all abilities from under it.)TrampleWhenever this creature deals combat damage to a player, return target creature card with mutate from your graveyard to your hand.","Mutate, Trample",6,6,Mutate
"Ovika, Enigma Goliath",Phyrexian Nightmare,7.0,"R, U","FlyingWard—{3}, Pay 3 life.Whenever you cast a noncreature spell, create X 1/1 red Phyrexian Goblin creature tokens, where X is the mana value of that spell. They gain haste until end of turn.","Flying, Ward",6,6,Goblins
"Oyobi, Who Split the Heavens",Spirit,7.0,W,"FlyingWhenever you cast a Spirit or Arcane spell, create a 3/3 white Spirit creature token with flying.",Flying,3,6,Spirits
"Ozox, the Clattering King",Skeleton Noble,3.0,B,"Ozox can't block.When Ozox dies, create Jumblebones, a legendary 2/1 black Skeleton creature token with ""Jumblebones can't block"" and ""When Jumblebones leaves the battlefield, return target card named Ozox, the Clattering King from your graveyard to your hand.""",,3,2,Skeletons
"Pantlaza, Sun-Favored",Dinosaur,5.0,"G, R, W","Whenever Pantlaza or another Dinosaur you control enters, you may discover X, where X is that creature's toughness. Do this only once each turn. (Exile cards from the top of your library until you exile a nonland card with that mana value or less. Cast it without paying its mana cost or put it into your hand. Put the rest on the bottom in a random order.)",Discover,4,4,Dinosaurs
"Parnesse, the Subtle Brush",Vampire Wizard,5.0,"B, R, U","Whenever you or a permanent you control becomes the target of a spell or ability an opponent controls, counter that spell or ability unless that player pays 4 life.Whenever you copy a spell, up to one target opponent may also copy that spell. They may choose new targets for that copy.",,4,4,Spell Copy
Pashalik Mons,Goblin Warrior,3.0,R,"Whenever Pashalik Mons or another Goblin you control dies, Pashalik Mons deals 1 damage to any target.{3}{R}, Sacrifice a Goblin: Create two 1/1 red Goblin creature tokens.",,2,2,Goblins
Patron of the Kitsune,Spirit,6.0,W,"Fox offering (You may cast this spell any time you could cast an instant by sacrificing a Fox and paying the difference in mana costs between this and the sacrificed Fox. Mana cost includes color.)Whenever a creature attacks, you may gain 1 life.",Offering,5,6,Foxes
Patron of the Moon,Spirit,7.0,U,Moonfolk offering (You may cast this spell any time you could cast an instant by sacrificing a Moonfolk and paying the difference in mana costs between this and the sacrificed Moonfolk. Mana cost includes color.)Flying{1}: Put up to two land cards from your hand onto the battlefield tapped.,"Flying, Offering",5,4,Bounce
Patron of the Nezumi,Spirit,7.0,B,"Rat offering (You may cast this spell any time you could cast an instant by sacrificing a Rat and paying the difference in mana costs between this and the sacrificed Rat. Mana cost includes color.)Whenever a permanent is put into an opponent's graveyard, that player loses 1 life.",Offering,6,6,Rats
